iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
466,0.314392,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.095901,0.002213,-0.112152,0.000687,-0.005508,0.016953
471,0.314407,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.113831,0.002213,-0.102310,0.000687,0.001450,0.021942
476,0.314423,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.125809,0.002213,-0.100708,0.000687,0.004822,0.024994
481,0.314438,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.133896,0.002213,-0.172501,0.000687,-0.011826,0.022705
486,0.314468,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.050735,0.002213,-0.113678,0.000687,-0.017029,0.005722
491,0.314468,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.135880,0.002213,-0.103836,0.000702,0.006470,0.027283
496,0.314499,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.098953,0.002213,-0.102234,0.000687,-0.002197,0.018280
501,0.314514,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.102005,0.002213,-0.069504,0.000687,0.007050,0.020981
506,0.314514,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.140686,0.002213,-0.096512,0.000702,0.009552,0.028900
511,0.314560,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.039291,0.002213,-0.101089,0.000687,-0.016586,0.003647
516,0.314545,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.162354,0.002213,-0.065689,0.000702,0.022888,0.036057
521,0.314560,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.129700,0.002213,-0.112762,0.000702,0.002625,0.025208
526,0.314575,-0.000046,-0.079971,0.315994,-0.000031,-0.080994,0.090866,0.002213,-0.103607,0.000687,-0.004547,0.016190
531,0.314575,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.123367,0.002213,-0.050888,0.000687,0.017136,0.027344
536,0.314575,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.139160,0.002213,-0.090714,0.000702,0.010681,0.028854
541,0.314621,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,-0.020142,0.002213,-0.115814,0.000687,-0.035034,-0.011871
546,0.314621,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.111237,0.002213,-0.102997,0.000687,0.000610,0.021240
551,0.314636,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.097351,0.002213,-0.075150,0.000687,0.004425,0.019485
556,0.314636,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.129623,0.002213,-0.094833,0.000702,0.007263,0.026260
561,0.314651,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.223770,0.002213,0.027313,0.000702,0.062134,0.056732
566,0.314651,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.149612,0.002213,-0.076141,0.000702,0.017029,0.032288
571,0.314682,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.065308,0.002213,-0.093765,0.000687,-0.008286,0.010483
576,0.314682,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.166931,0.002213,-0.050278,0.000702,0.028000,0.038101
581,0.314713,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.047379,0.002213,-0.089417,0.000687,-0.011566,0.006317
586,0.314697,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.150986,0.002213,-0.059738,0.000702,0.021622,0.033600
591,0.314728,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.061646,0.002213,-0.125580,0.000687,-0.017456,0.007675
596,0.314728,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.162582,0.002213,-0.029984,0.000702,0.032211,0.038239
601,0.314728,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.176544,0.002213,-0.033722,0.000702,0.034668,0.041443
606,0.314758,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.034103,0.002213,-0.134811,0.000687,-0.026627,0.000336
611,0.314758,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.108719,0.002213,-0.102310,0.000687,0.000168,0.020645
616,0.314774,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.095749,0.002213,-0.096817,0.000687,-0.001602,0.017776
621,0.314789,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.046158,0.002213,-0.024109,0.000687,0.005081,0.009918
626,0.314789,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.108414,0.002213,-0.082474,0.000687,0.005249,0.021759
631,0.314774,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.154800,0.002213,-0.020370,0.000702,0.032791,0.036896
636,0.314789,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.102234,0.002213,-0.079193,0.000687,0.004578,0.020432
641,0.314819,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.081100,0.002213,-0.089264,0.000687,-0.003235,0.014618
646,0.314835,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.061035,0.002213,-0.141602,0.000687,-0.021774,0.006546
651,0.314835,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,0.143204,0.002213,-0.100861,0.000702,0.009018,0.029205
656,0.314850,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.120392,0.002213,-0.043259,0.000702,0.018387,0.027039
661,0.314865,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.043793,0.002213,-0.082932,0.000687,-0.010773,0.005814
666,0.314880,-0.000046,-0.080093,0.315994,-0.000031,-0.080994,0.050964,0.002213,-0.088425,0.000687,-0.010437,0.007248
671,0.314880,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.101547,0.002213,-0.053482,0.000687,0.011093,0.021790
676,0.314880,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.110016,0.002213,-0.082321,0.000687,0.005676,0.022141
681,0.314911,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.021362,0.002213,-0.087357,0.000687,-0.017456,0.000015
686,0.314972,-0.000046,-0.080063,0.315994,-0.000031,-0.080994,-0.049744,0.002213,-0.195847,0.000687,-0.063156,-0.024002
691,0.314972,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.084381,0.002213,-0.084229,0.000687,-0.001144,0.015717
696,0.314957,-0.000046,-0.080109,0.315994,-0.000031,-0.080994,0.117950,0.002213,0.053864,0.000702,0.043030,0.032257
701,0.314957,-0.000046,-0.080124,0.315994,-0.000031,-0.080994,0.106506,0.002213,-0.013275,0.000687,0.022751,0.025406
706,0.314957,-0.000046,-0.080124,0.315994,-0.000031,-0.080994,0.104446,0.002213,-0.074158,0.000687,0.006424,0.021255
711,0.314972,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,0.053711,0.002213,0.028152,0.000687,0.020538,0.014908
716,0.315002,-0.000046,-0.080154,0.315994,-0.000031,-0.080994,-0.049133,0.002213,-0.135422,0.000687,-0.047318,-0.020233
721,0.314972,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,0.125809,0.002213,-0.066605,0.000702,0.013657,0.026962
726,0.315018,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,-0.001221,0.002213,-0.079422,0.000687,-0.020966,-0.005081
731,0.315002,-0.000046,-0.080185,0.315994,-0.000031,-0.080994,0.106964,0.002213,-0.055923,0.000687,0.011780,0.022964
736,0.315018,-0.000046,-0.080185,0.315994,-0.000031,-0.080994,0.036087,0.002213,-0.068970,0.000687,-0.009048,0.004730
741,0.315018,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.087585,0.002213,-0.027618,0.000687,0.014374,0.019897
