iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
651,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
656,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
661,0.315887,-0.000031,-0.080933,0.315994,-0.000031,-0.080994,0.053406,-0.068207,-0.029144,-0.021545,0.005569,0.011353
666,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.286255,-0.029144,0.090424,0.005585,0.011353
671,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.061493,-0.029144,0.019424,0.005585,0.011353
676,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.023499,-0.029144,0.007416,0.005585,0.011353
681,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.017090,-0.029144,0.005402,0.005585,0.011353
686,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
691,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
696,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
701,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
706,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
711,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
716,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
721,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
